playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8471214,2008,Alex Ovechkin,WSH,L,other,79,5714.0,91.0,130.3,0.74,0.42,0.66,0.37,0.67,0.36,249.0,44.76,11.52,2.82,8.16,1.38,20.98,16.53,10.52,11.52,10.52,1.0,6.0,43.0,24.0,24.0,91.0,18.0,11.0,2.0,1.0,8.0,1.0,21.0,24.0,32.0,56.0,3.0,6.0,1.0,14.0,5.0,6.0,33.0,19.0,15.0,1.25,2.25,8.02,3.0,2.0,6.0,91.0,67.0,67.0,1.0,0.87,0.81,1.43,10.56,10.56,9.82,91.0,24.0,5.0,10.0,52.0,14.0,9.0,30.0,38.0,1.0,2.0,6534.0,6.0,8.0,4.0,2.0,104.8,23.02,21.21,23.02,21.21,105.0,45.0,44.0,194.0,21.0,9.0,3.0,77.0,44.0,29.0,2.93,5.32,14.77,4.0,3.0,14.0,194.0,150.0,150.0,2.34,3.62,3.62,21.35,21.35,19.92,47.9,7.94,7.86,7.94,7.86,50.0,24.0,25.0,99.0,10.0,3.0,1.0,52.0,15.0,7.0,2.09,1.76,4.08,4.0,0.0,6.0,99.0,74.0,74.0,0.89,0.86,0.86,7.7,7.7,7.63,8.85,12.44,112.0,191.0,0.02,0.0,2.0,0.0,1.0,0.0
8471214,2008,Alex Ovechkin,WSH,L,all,79,109042.0,1694.0,139.29,0.66,0.44,0.64,0.46,0.63,0.46,99.0,537.68,54.65,36.37,122.22,17.49,295.75,214.98,51.9,54.93,52.18,32.0,22.0,528.0,220.0,279.0,1027.0,110.0,56.0,35.0,4.0,111.0,16.0,262.0,268.0,472.0,692.0,35.0,72.0,8.0,243.0,60.0,107.0,557.0,142.0,49.0,17.93,16.74,19.98,22.0,17.0,17.0,1035.0,748.0,753.69,24.0,8.43,6.71,5.16,57.45,57.8,55.41,1694.0,318.0,134.0,241.0,1001.0,218.0,290.0,401.0,785.0,8.0,24.0,178997.0,72.0,82.0,42.0,32.0,1304.17,141.37,134.28,142.17,135.05,1287.0,536.0,657.0,2480.0,162.0,83.0,22.0,1321.0,367.0,135.0,40.85,43.79,56.74,53.0,47.0,62.0,2495.89,1823.0,1834.39,22.24,19.24,19.58,143.5,144.2,138.28,764.63,74.0,72.2,73.76,71.96,779.0,288.0,346.0,1413.0,82.0,51.0,13.0,759.0,253.0,55.0,24.29,31.45,18.26,27.0,32.0,23.0,1408.77,1067.0,1063.44,11.3,11.25,11.56,73.47,73.18,72.18,110.09,140.2,2477.0,2886.0,0.0,0.0,0.0,0.0,0.0,0.0
8471214,2008,Alex Ovechkin,WSH,L,5on5,79,75344.0,1280.0,139.29,0.55,0.55,0.57,0.53,0.56,0.54,113.0,330.9,27.14,20.98,79.07,11.01,176.55,137.25,26.61,27.42,26.88,16.0,7.0,312.0,140.0,172.0,624.0,50.0,27.0,19.0,1.0,75.0,11.0,148.0,172.0,285.0,425.0,25.0,52.0,6.0,203.0,39.0,70.0,346.0,90.0,16.0,12.33,10.56,4.25,14.0,9.0,4.0,632.0,452.0,457.69,19.0,4.31,3.01,2.7,28.75,29.09,28.67,1280.0,147.0,103.0,201.0,829.0,166.0,235.0,278.0,601.0,6.0,18.0,141671.0,52.0,66.0,33.0,25.0,752.49,60.57,59.05,61.37,59.82,732.0,314.0,432.0,1478.0,66.0,40.0,7.0,806.0,201.0,39.0,26.7,23.6,10.27,34.0,23.0,9.0,1493.89,1046.0,1057.38,9.96,7.29,7.6,62.85,63.56,62.52,586.7,50.43,49.26,50.19,49.02,594.0,219.0,284.0,1097.0,55.0,37.0,8.0,594.0,190.0,29.0,19.17,23.96,7.3,21.0,23.0,11.0,1092.77,813.0,809.44,8.02,7.26,7.29,51.17,50.88,50.17,94.03,76.73,2203.0,1927.0,1.59,1.68,29.0,46.0,23.0,36.0
8471214,2008,Alex Ovechkin,WSH,L,4on5,79,4359.0,137.0,114.69,0.11,0.08,0.16,0.12,0.19,0.12,354.0,9.9,0.93,0.45,1.63,0.36,2.97,6.73,0.92,0.93,0.92,0.0,0.0,7.0,7.0,0.0,14.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,7.0,6.0,13.0,2.0,4.0,1.0,9.0,5.0,2.0,9.0,5.0,0.0,0.31,0.61,0.0,1.0,0.0,0.0,14.0,14.0,14.0,2.0,0.11,0.0,0.0,0.96,0.96,0.96,137.0,7.0,23.0,8.0,99.0,15.0,28.0,27.0,67.0,1.0,0.0,22680.0,4.0,6.0,3.0,1.0,14.21,1.09,1.09,1.09,1.09,12.0,9.0,2.0,23.0,1.0,0.0,0.0,15.0,6.0,0.0,0.39,0.7,0.0,1.0,0.0,0.0,23.0,21.0,21.0,0.14,0.0,0.0,1.17,1.17,1.17,65.34,8.55,8.17,8.55,8.17,70.0,21.0,28.0,119.0,8.0,8.0,3.0,61.0,18.0,12.0,1.45,2.15,4.95,0.0,3.0,5.0,119.0,91.0,91.0,1.59,2.16,2.45,7.69,7.69,7.5,3.6,43.34,82.0,626.0,0.0,0.0,0.0,0.0,0.0,0.0
8471214,2008,Alex Ovechkin,WSH,L,5on4,79,23625.0,186.0,139.29,0.89,0.82,0.89,0.8,0.87,0.76,106.0,150.7,15.0,12.03,32.95,4.69,94.43,53.9,13.78,15.0,13.78,15.0,9.0,164.0,49.0,83.0,296.0,41.0,17.0,14.0,2.0,24.0,4.0,89.0,65.0,147.0,196.0,4.0,8.0,0.0,17.0,11.0,29.0,167.0,28.0,18.0,3.96,3.32,7.71,4.0,6.0,7.0,296.0,213.0,213.0,2.0,3.12,2.88,1.04,17.08,17.08,15.86,186.0,140.0,3.0,22.0,21.0,23.0,18.0,66.0,79.0,0.0,4.0,3333.0,8.0,0.0,1.0,3.0,430.56,56.49,52.72,56.49,52.72,435.0,168.0,179.0,782.0,74.0,34.0,12.0,421.0,115.0,67.0,10.75,14.04,31.7,14.0,21.0,39.0,782.0,603.0,603.0,9.76,8.33,8.36,57.89,57.89,54.45,64.71,7.07,6.91,7.07,6.91,65.0,24.0,9.0,98.0,9.0,3.0,1.0,52.0,30.0,7.0,1.58,3.58,1.92,2.0,6.0,1.0,98.0,89.0,89.0,0.81,0.97,0.97,6.91,6.91,6.87,2.26,0.51,53.0,13.0,0.0,0.17,0.0,3.0,0.0,3.0
8471214,2009,Alex Ovechkin,WSH,L,other,72,4256.0,57.0,119.54,0.69,0.23,0.71,0.3,0.71,0.25,228.0,33.38,6.88,2.26,6.24,1.16,19.2,13.33,6.8,6.88,6.8,3.0,4.0,28.0,22.0,26.0,76.0,12.0,5.0,4.0,0.0,6.0,0.0,22.0,13.0,23.0,45.0,1.0,2.0,1.0,1.0,5.0,4.0,32.0,10.0,8.0,1.04,1.3,4.53,0.0,0.0,5.0,76.0,50.0,50.0,0.0,0.68,1.63,0.0,7.49,7.49,7.38,57.0,8.0,5.0,8.0,36.0,12.0,7.0,20.0,18.0,1.0,0.0,4462.0,2.0,4.0,2.0,5.0,103.97,18.35,16.98,18.35,16.98,98.0,49.0,43.0,190.0,18.0,10.0,2.0,81.0,44.0,22.0,2.75,6.02,9.59,1.0,9.0,8.0,190.0,147.0,147.0,2.75,2.79,2.79,18.24,18.24,17.44,43.71,8.18,8.1,8.18,8.1,40.0,20.0,19.0,79.0,4.0,0.0,0.0,33.0,15.0,12.0,1.04,1.72,5.41,1.0,1.0,2.0,79.0,60.0,60.0,0.76,0.0,0.0,8.94,8.94,8.84,5.02,17.05,84.0,199.0,0.01,0.0,1.0,0.0,1.0,0.0
8471214,2009,Alex Ovechkin,WSH,L,all,72,94165.0,1420.0,129.58,0.67,0.41,0.66,0.44,0.65,0.43,121.0,389.33,37.86,26.92,88.87,12.41,218.59,154.42,36.92,38.08,37.15,37.0,22.0,368.0,172.0,282.0,822.0,109.0,50.0,33.0,6.0,70.0,6.0,187.0,194.0,318.0,490.0,28.0,89.0,10.0,185.0,66.0,76.0,413.0,92.0,35.0,13.6,10.91,13.35,17.0,15.0,18.0,830.34,540.0,546.27,21.0,6.23,8.17,3.72,40.31,40.57,39.84,1420.0,273.0,102.0,242.0,803.0,216.0,233.0,333.0,638.0,10.0,12.0,169811.0,89.0,66.0,33.0,20.0,1133.77,120.23,114.48,120.75,114.98,1108.0,468.0,621.0,2197.0,148.0,91.0,32.0,1130.0,322.0,124.0,35.95,38.08,46.21,39.0,47.0,62.0,2215.98,1576.0,1588.11,20.53,22.82,22.82,117.89,118.29,114.16,623.42,59.51,57.82,59.31,57.63,623.0,237.0,283.0,1143.0,45.0,41.0,7.0,618.0,184.0,58.0,19.46,22.07,17.97,17.0,16.0,12.0,1130.94,860.0,851.78,8.6,8.65,8.6,59.51,59.24,58.45,105.15,153.51,2376.0,3001.0,0.0,0.0,0.0,0.0,0.0,0.0
8471214,2009,Alex Ovechkin,WSH,L,5on5,72,69657.0,1165.0,129.58,0.56,0.49,0.58,0.5,0.56,0.49,134.0,248.52,20.57,15.5,58.9,7.83,132.07,103.14,20.07,20.79,20.3,24.0,9.0,246.0,92.0,185.0,523.0,65.0,32.0,16.0,5.0,45.0,3.0,112.0,130.0,214.0,306.0,24.0,81.0,9.0,169.0,47.0,57.0,262.0,58.0,18.0,9.32,6.83,4.42,13.0,13.0,6.0,531.35,338.0,344.27,19.0,3.18,3.88,2.1,21.65,21.91,21.58,1165.0,138.0,94.0,214.0,719.0,178.0,200.0,247.0,540.0,9.0,10.0,135108.0,81.0,58.0,29.0,12.0,661.66,56.01,54.69,56.52,55.2,672.0,248.0,409.0,1329.0,79.0,38.0,15.0,705.0,167.0,48.0,24.27,19.16,12.58,31.0,28.0,20.0,1347.98,920.0,932.11,8.99,8.58,8.58,56.43,56.82,56.0,517.44,43.85,42.4,43.66,42.21,521.0,195.0,256.0,972.0,33.0,36.0,7.0,540.0,139.0,37.0,17.08,16.63,10.15,12.0,12.0,9.0,959.94,716.0,707.78,7.03,7.83,7.86,43.02,42.75,42.13,87.39,92.64,2094.0,2070.0,0.99,1.81,24.0,40.0,20.0,30.0
8471214,2009,Alex Ovechkin,WSH,L,4on5,72,277.0,38.0,51.41,0.0,0.13,0.5,0.15,0.0,0.15,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,5.0,1.0,1.0,31.0,8.0,9.0,6.0,15.0,0.0,0.0,11573.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.04,0.04,0.04,0.04,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.04,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.01,0.0,0.0,0.06,0.06,0.06,2.19,14.24,51.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0
8471214,2009,Alex Ovechkin,WSH,L,5on4,72,19975.0,160.0,127.48,0.87,0.85,0.9,0.81,0.87,0.8,104.0,103.86,10.08,8.9,23.06,3.33,65.52,36.1,9.72,10.08,9.72,10.0,9.0,90.0,57.0,69.0,216.0,32.0,13.0,12.0,1.0,19.0,3.0,53.0,47.0,77.0,134.0,3.0,6.0,0.0,15.0,13.0,15.0,115.0,23.0,9.0,3.01,2.67,4.39,4.0,2.0,7.0,216.0,147.0,147.0,2.0,2.31,2.29,1.62,10.77,10.77,10.47,160.0,122.0,2.0,19.0,17.0,18.0,17.0,60.0,65.0,0.0,0.0,3388.0,6.0,0.0,0.0,0.0,361.1,44.6,41.78,44.6,41.78,332.0,168.0,165.0,665.0,50.0,41.0,14.0,340.0,109.0,51.0,8.71,12.71,23.18,7.0,10.0,33.0,665.0,500.0,500.0,8.62,10.8,10.8,42.42,42.42,40.05,53.2,6.63,6.48,6.63,6.48,56.0,16.0,4.0,76.0,7.0,5.0,0.0,38.0,25.0,9.0,1.13,3.09,2.41,3.0,3.0,1.0,76.0,72.0,72.0,0.66,0.82,0.74,6.55,6.55,6.5,5.25,0.93,58.0,14.0,0.01,0.21,1.0,1.0,1.0,1.0
