playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8474056,2009,P.K. Subban,MTL,D,other,2,108.0,2.0,2.8,0.0,0.17,0.5,0.25,0.0,0.25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.01,0.01,0.01,0.01,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.01,0.0,0.0,0.02,0.02,0.02,0.02,0.12,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8474056,2009,P.K. Subban,MTL,D,all,2,2412.0,49.0,2.8,0.72,0.29,0.73,0.47,0.71,0.44,8.0,4.64,0.18,0.28,1.12,0.14,3.03,2.24,0.18,0.18,0.18,0.0,2.0,4.0,3.0,2.0,9.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,4.0,7.0,1.0,2.0,0.0,1.0,2.0,3.0,6.0,1.0,0.0,0.09,0.1,0.0,0.0,0.0,0.0,8.5,7.0,6.63,3.0,0.06,0.44,0.0,0.24,0.24,0.24,49.0,13.0,3.0,12.0,21.0,6.0,6.0,8.0,29.0,0.0,0.0,4788.0,2.0,4.0,2.0,2.0,21.88,2.39,2.23,2.36,2.2,20.0,9.0,20.0,49.0,2.0,4.0,2.0,21.0,5.0,3.0,0.56,0.64,1.19,0.0,1.0,1.0,46.8,29.0,27.73,0.33,1.35,1.35,1.36,1.33,1.31,8.55,0.91,0.9,0.95,0.94,8.0,4.0,6.0,18.0,0.0,0.0,0.0,9.0,2.0,1.0,0.27,0.38,0.27,0.0,0.0,0.0,19.29,12.0,12.61,0.13,0.0,0.0,1.04,1.08,1.07,2.3,5.55,73.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
8474056,2009,P.K. Subban,MTL,D,5on5,2,1861.0,40.0,2.8,0.61,0.37,0.71,0.53,0.71,0.49,6.0,4.64,0.18,0.28,1.12,0.14,3.03,2.24,0.18,0.18,0.18,0.0,1.0,4.0,3.0,1.0,8.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,4.0,7.0,1.0,2.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,0.09,0.1,0.0,0.0,0.0,0.0,7.5,7.0,6.63,2.0,0.06,0.44,0.0,0.24,0.24,0.24,40.0,7.0,2.0,12.0,19.0,5.0,5.0,7.0,23.0,0.0,0.0,3466.0,2.0,4.0,2.0,1.0,16.43,1.31,1.23,1.28,1.21,15.0,7.0,12.0,34.0,1.0,2.0,1.0,17.0,4.0,1.0,0.41,0.46,0.44,0.0,1.0,0.0,31.8,22.0,20.73,0.21,0.6,0.6,0.91,0.88,0.87,6.82,0.84,0.83,0.87,0.86,7.0,2.0,5.0,14.0,0.0,0.0,0.0,6.0,2.0,1.0,0.2,0.38,0.27,0.0,0.0,0.0,15.29,9.0,9.62,0.1,0.0,0.0,0.94,0.98,0.97,1.92,3.3,62.0,54.0,0.02,0.0,5.0,0.0,2.0,0.0
8474056,2009,P.K. Subban,MTL,D,4on5,2,48.0,1.0,1.48,0.0,0.03,0.0,0.06,0.0,0.09,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.06,0.06,0.06,0.06,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.01,0.0,0.0,0.08,0.08,0.08,0.02,0.74,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
8474056,2009,P.K. Subban,MTL,D,5on4,2,395.0,6.0,2.8,1.0,0.73,0.93,0.89,0.88,0.83,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,321.0,0.0,0.0,0.0,1.0,5.46,1.08,0.99,1.08,0.99,5.0,2.0,7.0,14.0,1.0,2.0,1.0,4.0,1.0,2.0,0.15,0.18,0.74,0.0,0.0,1.0,14.0,7.0,7.0,0.12,0.74,0.74,0.45,0.45,0.44,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.12,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8474056,2010,P.K. Subban,MTL,D,other,77,3870.0,64.0,42.48,0.48,0.48,0.53,0.42,0.5,0.44,147.0,13.38,1.52,1.07,2.76,0.51,8.84,4.3,1.33,1.52,1.33,2.0,1.0,16.0,3.0,5.0,24.0,6.0,3.0,1.0,0.0,4.0,0.0,6.0,5.0,13.0,16.0,3.0,6.0,0.0,8.0,0.0,2.0,13.0,5.0,1.0,0.61,0.66,0.25,1.0,1.0,1.0,24.0,19.0,19.0,2.0,0.32,0.39,0.16,1.68,1.68,1.51,64.0,12.0,16.0,10.0,26.0,7.0,15.0,8.0,34.0,0.0,0.0,5136.0,6.0,6.0,3.0,4.0,55.31,8.8,7.92,8.8,7.92,58.0,17.0,25.0,100.0,11.0,4.0,2.0,42.0,21.0,12.0,1.64,2.9,4.26,3.0,4.0,4.0,100.0,75.0,75.0,1.34,1.15,1.15,8.99,8.99,8.32,52.77,9.66,9.52,9.66,9.52,60.0,14.0,15.0,89.0,10.0,4.0,1.0,47.0,17.0,10.0,1.54,2.01,6.1,1.0,3.0,6.0,89.0,74.0,74.0,1.08,0.93,0.9,9.83,9.83,9.71,11.49,12.23,116.0,159.0,0.07,0.01,2.0,1.0,2.0,1.0
8474056,2010,P.K. Subban,MTL,D,all,77,102881.0,2090.0,54.07,0.54,0.46,0.55,0.47,0.55,0.48,190.0,186.81,10.55,11.53,43.89,6.1,111.83,91.1,10.14,10.59,10.18,9.0,15.0,197.0,78.0,115.0,390.0,38.0,14.0,8.0,0.0,41.0,8.0,103.0,101.0,183.0,261.0,46.0,104.0,0.0,110.0,37.0,56.0,252.0,13.0,10.0,5.39,1.55,3.61,6.0,1.0,7.0,390.83,275.0,275.78,44.0,2.69,2.06,0.84,12.4,12.41,12.02,2090.0,288.0,283.0,307.0,1212.0,239.0,303.0,315.0,1233.0,0.0,0.0,177558.0,104.0,88.0,37.0,106.0,985.73,84.93,80.94,85.3,81.3,1008.0,359.0,480.0,1847.0,78.0,51.0,7.0,1055.0,238.0,74.0,28.25,29.56,27.12,26.0,26.0,26.0,1849.59,1367.0,1372.21,15.7,10.77,11.8,88.83,89.22,86.76,805.44,72.21,69.93,72.54,70.2,816.0,300.0,368.0,1484.0,68.0,57.0,13.0,825.0,231.0,60.0,22.92,27.84,21.45,20.0,20.0,28.0,1484.78,1116.0,1116.37,12.98,11.32,12.05,73.14,73.32,72.14,125.29,146.18,2717.0,3003.0,0.0,0.0,0.0,0.0,0.0,0.0
8474056,2010,P.K. Subban,MTL,D,5on5,77,74636.0,1608.0,54.07,0.51,0.49,0.55,0.5,0.54,0.5,246.0,112.93,3.91,5.87,28.72,3.73,64.32,56.45,3.81,3.95,3.85,5.0,8.0,118.0,45.0,75.0,238.0,17.0,4.0,3.0,0.0,25.0,7.0,63.0,61.0,114.0,159.0,35.0,82.0,0.0,85.0,21.0,41.0,157.0,4.0,2.0,2.94,0.46,0.51,4.0,0.0,0.0,238.83,163.0,163.78,32.0,1.17,0.72,0.6,4.48,4.5,4.43,1608.0,156.0,162.0,264.0,1026.0,192.0,222.0,237.0,957.0,0.0,0.0,141635.0,82.0,70.0,29.0,88.0,682.34,48.5,47.34,48.86,47.7,692.0,249.0,349.0,1290.0,43.0,29.0,3.0,745.0,168.0,28.0,20.22,20.56,7.71,19.0,17.0,7.0,1292.59,941.0,946.21,8.91,4.98,5.68,51.72,52.12,51.42,568.97,46.55,45.05,46.87,45.33,574.0,214.0,287.0,1075.0,46.0,37.0,12.0,589.0,162.0,37.0,16.65,19.33,10.56,16.0,13.0,17.0,1075.78,788.0,788.37,7.85,8.65,8.51,45.88,46.07,45.43,89.46,94.06,2212.0,2247.0,5.64,0.73,125.0,31.0,98.0,25.0
8474056,2010,P.K. Subban,MTL,D,4on5,77,10903.0,224.0,49.77,0.14,0.12,0.19,0.14,0.2,0.18,232.0,6.39,0.27,0.2,0.41,0.19,1.17,11.76,0.27,0.27,0.27,0.0,0.0,9.0,5.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,9.0,14.0,2.0,4.0,0.0,12.0,5.0,8.0,13.0,0.0,1.0,0.05,0.0,0.22,0.0,0.0,0.0,15.0,14.0,14.0,8.0,0.05,0.0,0.0,0.32,0.32,0.32,224.0,4.0,100.0,18.0,102.0,11.0,47.0,37.0,129.0,0.0,0.0,17799.0,4.0,4.0,2.0,2.0,32.38,2.13,2.13,2.13,2.13,34.0,19.0,8.0,61.0,1.0,0.0,0.0,44.0,6.0,3.0,0.74,0.6,0.8,0.0,1.0,0.0,61.0,53.0,53.0,0.3,0.0,0.0,2.43,2.43,2.42,150.46,13.04,12.45,13.04,12.45,152.0,57.0,50.0,259.0,10.0,13.0,0.0,156.0,42.0,11.0,3.82,5.12,4.1,2.0,3.0,5.0,259.0,209.0,209.0,3.68,0.97,1.72,15.0,15.0,14.61,4.02,30.62,77.0,481.0,0.34,0.16,6.0,2.0,5.0,2.0
8474056,2010,P.K. Subban,MTL,D,5on4,77,13472.0,194.0,54.07,0.92,0.84,0.88,0.83,0.88,0.81,152.0,54.11,4.85,4.39,12.0,1.67,37.5,18.58,4.72,4.85,4.72,2.0,6.0,54.0,25.0,34.0,113.0,15.0,7.0,4.0,0.0,12.0,0.0,32.0,24.0,47.0,72.0,5.0,10.0,0.0,4.0,11.0,4.0,69.0,4.0,6.0,1.79,0.43,2.63,1.0,0.0,6.0,113.0,79.0,79.0,1.0,1.14,0.95,0.08,5.91,5.91,5.76,194.0,116.0,5.0,15.0,58.0,29.0,19.0,33.0,113.0,0.0,0.0,11546.0,10.0,8.0,3.0,12.0,211.23,25.03,23.09,25.03,23.09,220.0,72.0,98.0,390.0,23.0,18.0,2.0,219.0,43.0,30.0,5.5,5.51,14.02,4.0,4.0,15.0,390.0,292.0,292.0,5.08,4.64,4.64,25.48,25.48,24.4,28.23,2.19,2.15,2.19,2.15,25.0,14.0,14.0,53.0,2.0,3.0,0.0,31.0,6.0,2.0,0.84,0.67,0.69,1.0,1.0,0.0,53.0,39.0,39.0,0.27,0.76,0.76,1.71,1.71,1.69,18.54,3.65,290.0,61.0,0.16,0.0,5.0,1.0,5.0,0.0
