Robert De Niro
Jodie Foster
Albert Brooks
Harvey Keitel
Cybill Shepherd
Peter Boyle
Leonard Harris
Diahnne Abbott
Gino Ardito
Martin Scorsese
Murray Moston
Richard Higgs
Bill Minkin
Bob Maroff
Victor Argo
Joe Spinell
Robinson Frank Adu
Brenda Dickson
Norman Matlock
Harry Northup
Harlan Cary Poe
Steven Prince
Peter Savage
Nicholas Shields
Ralph S. Singleton
Annie Gagen
Carson Grant
Mary-Pat Green
Debbi Morgan
Don Stroud
Copper Cunningham
Garth Avery
Nat Grant
Billie Perkins
Catherine Scorsese
Charles Scorsese
