,score_phrase,title,url,platform,score,editors_choice,release_year,release_month,release_day,primary_genre,secondary_genre
0,Amazing,LittleBigPlanet PS Vita,/games/littlebigplanet-vita/vita-98907,PlayStation Vita,9.0,Y,2012,9,12,Platformer,
1,Amazing,LittleBigPlanet PS Vita -- Marvel Super Hero Edition,/games/littlebigplanet-ps-vita-marvel-super-hero-edition/vita-20027059,PlayStation Vita,9.0,Y,2012,9,12,Platformer,
2,Great,Splice: Tree of Life,/games/splice/ipad-141070,iPad,8.5,N,2012,9,12,Puzzle,
3,Great,NHL 13,/games/nhl-13/xbox-360-128182,Xbox 360,8.5,N,2012,9,11,Sports,
4,Great,NHL 13,/games/nhl-13/ps3-128181,PlayStation 3,8.5,N,2012,9,11,Sports,
5,Good,Total War Battles: Shogun,/games/total-war-battles-shogun/mac-142565,Macintosh,7.0,N,2012,9,11,Strategy,
6,Awful,Double Dragon: Neon,/games/double-dragon-neon/xbox-360-131320,Xbox 360,3.0,N,2012,9,11,Fighting,
7,Amazing,Guild Wars 2,/games/guild-wars-2/pc-896298,PC,9.0,Y,2012,9,11,RPG,
8,Awful,Double Dragon: Neon,/games/double-dragon-neon/ps3-131321,PlayStation 3,3.0,N,2012,9,11,Fighting,
9,Good,Total War Battles: Shogun,/games/total-war-battles-shogun/pc-142564,PC,7.0,N,2012,9,11,Strategy,
10,Good,Tekken Tag Tournament 2,/games/tekken-tag-tournament-2/ps3-124584,PlayStation 3,7.5,N,2012,9,11,Fighting,
11,Good,Tekken Tag Tournament 2,/games/tekken-tag-tournament-2/xbox-360-124581,Xbox 360,7.5,N,2012,9,11,Fighting,
12,Good,Wild Blood,/games/wild-blood/iphone-139363,iPhone,7.0,N,2012,9,10,,
13,Amazing,Mark of the Ninja,/games/mark-of-the-ninja-135615/xbox-360-129276,Xbox 360,9.0,Y,2012,9,7,Action, Adventure
14,Amazing,Mark of the Ninja,/games/mark-of-the-ninja-135615/pc-143761,PC,9.0,Y,2012,9,7,Action, Adventure
