,item_id,name,category,price,old_price,sellable_online,link,other_colors,designer,depth,height,width
325,60419962,JONAXEL,Bookcases & shelving units,15.0,No old price,True,https://www.ikea.com/sa/en/p/jonaxel-wire-basket-white-60419962/,Yes,IKEA of Sweden,51.0,15.0,25.0
741,49133579,IVAR,Bookcases & shelving units,365.0,No old price,True,https://www.ikea.com/sa/en/p/ivar-1-section-bottle-racks-pine-grey-s49133579/,No,IKEA of Sweden/Sarah Fager,30.0,124.0,89.0
507,296351,SELSVIKEN,Bookcases & shelving units,60.0,No old price,True,https://www.ikea.com/sa/en/p/selsviken-drawer-front-patterned-high-gloss-brown-00296351/,Yes,IKEA of Sweden,,26.0,60.0
549,19903834,ALGOT,Bookcases & shelving units,302.0,SR 444,True,https://www.ikea.com/sa/en/p/algot-wall-upright-shelves-drying-rack-white-s19903834/,No,Francis Cayouette,61.0,197.0,132.0
752,69239607,ALGOT,Bookcases & shelving units,347.0,SR 445,True,https://www.ikea.com/sa/en/p/algot-wall-upright-shelves-rod-s69239607/,No,Francis Cayouette,41.0,197.0,132.0
198,60429471,DELAKTIG,Beds,200.0,No old price,True,https://www.ikea.com/sa/en/p/delaktig-fitting-for-headboard-60429471/,No,Tom Dixon,,,
943,19266033,HAVSTA,Cabinets & cupboards,2645.0,No old price,True,https://www.ikea.com/sa/en/p/havsta-storage-comb-w-sliding-glass-doors-white-s19266033/,Yes,IKEA of Sweden,37.0,134.0,283.0
755,69304754,IVAR,Bookcases & shelving units,1745.0,No old price,True,https://www.ikea.com/sa/en/p/ivar-shelving-unit-w-tbl-cabinets-shlvs-pine-s69304754/,No,IKEA of Sweden,30.0,179.0,259.0
980,40364060,LAPPVIKEN,Cabinets & cupboards,38.5,SR 55,True,https://www.ikea.com/sa/en/p/lappviken-door-light-grey-40364060/,Yes,IKEA of Sweden,,64.0,60.0
472,40347508,ENERYDA,Bookcases & shelving units,22.0,No old price,True,https://www.ikea.com/sa/en/p/eneryda-knob-brass-colour-40347508/,Yes,Francis Cayouette,,,
722,20390574,STALLARP,Bookcases & shelving units,45.0,No old price,True,https://www.ikea.com/sa/en/p/stallarp-leg-chrome-plated-20390574/,No,Carl Öjerstam,4.0,10.0,4.0
443,80318165,IVAR,Bookcases & shelving units,49.0,No old price,True,https://www.ikea.com/sa/en/p/ivar-shelf-pine-80318165/,No,IKEA of Sweden,50.0,,83.0
774,10357004,KALLRÖR,Bookcases & shelving units,35.0,No old price,True,https://www.ikea.com/sa/en/p/kallroer-handle-stainless-steel-10357004/,No,IKEA of Sweden,38.0,,
147,19166180,LYCKSELE MURBO,Beds,1445.0,No old price,True,https://www.ikea.com/sa/en/p/lycksele-murbo-two-seat-sofa-bed-ebbarp-black-white-s19166180/,Yes,IKEA of Sweden,100.0,87.0,142.0
605,59184441,SVALNÄS,Bookcases & shelving units,2605.0,No old price,True,https://www.ikea.com/sa/en/p/svalnaes-wall-mounted-storage-combination-bamboo-white-s59184441/,No,Jon Karlsson,35.0,176.0,297.0
814,49280042,BILLY / OXBERG,Cabinets & cupboards,315.0,No old price,True,https://www.ikea.com/sa/en/p/billy-oxberg-bookcase-with-doors-white-s49280042/,Yes,Gillis Lundgren,30.0,106.0,80.0
686,49017749,ALGOT,Bookcases & shelving units,474.2,SR 557,True,https://www.ikea.com/sa/en/p/algot-wall-upright-shelves-white-s49017749/,No,Francis Cayouette,41.0,87.0,190.0
566,30333842,BROR,Bookcases & shelving units,95.0,No old price,True,https://www.ikea.com/sa/en/p/bror-shelf-black-30333842/,Yes,IKEA of Sweden,54.0,,84.0
524,10218536,ALGOT,Bookcases & shelving units,20.0,No old price,True,https://www.ikea.com/sa/en/p/algot-wall-upright-white-10218536/,Yes,Francis Cayouette,,84.0,4.0
1133,59297184,EKOLSUND,Chairs,1395.0,No old price,True,https://www.ikea.com/sa/en/p/ekolsund-recliner-gunnared-light-brown-pink-s59297184/,Yes,Anna Palleschitz,94.0,97.0,85.0
362,29286417,EKET,Bookcases & shelving units,265.0,No old price,True,https://www.ikea.com/sa/en/p/eket-cabinet-combination-with-legs-dark-grey-golden-brown-s29286417/,Yes,Jon Karlsson/IKEA of Sweden,35.0,80.0,35.0
630,9278338,KALLAX,Bookcases & shelving units,1350.0,No old price,True,https://www.ikea.com/sa/en/p/kallax-shelving-unit-with-10-inserts-white-s09278338/,Yes,Tord Björklund/IKEA of Sweden,39.0,182.0,182.0
347,79017837,BILLY,Bookcases & shelving units,370.0,No old price,True,https://www.ikea.com/sa/en/p/billy-bookcase-white-s79017837/,Yes,Gillis Lundgren,28.0,202.0,160.0
204,10309616,BÅTSFJORD,Beds,30.0,SR 50/4 pack,True,https://www.ikea.com/sa/en/p/batsfjord-leg-birch-10309616/,No,Ehlén Johansson,,,
233,10411242,VITVAL,Beds,995.0,No old price,True,https://www.ikea.com/sa/en/p/vitval-loft-bed-frame-white-light-grey-10411242/,No,IKEA of Sweden,,195.0,135.0
833,69017828,BILLY / OXBERG,Cabinets & cupboards,575.0,No old price,True,https://www.ikea.com/sa/en/p/billy-oxberg-bookcase-white-s69017828/,Yes,Gillis Lundgren,30.0,202.0,80.0
747,50470512,IVAR,Bookcases & shelving units,245.0,No old price,True,https://www.ikea.com/sa/en/p/ivar-shelf-black-50470512/,No,IKEA of Sweden,30.0,,83.0
904,59301483,BESTÅ,Cabinets & cupboards,1020.0,No old price,True,https://www.ikea.com/sa/en/p/besta-storage-combination-w-glass-doors-white-sindvik-stallarp-white-clear-glass-s59301483/,Yes,Marcus Arvonen/Carl Öjerstam/IKEA of Sweden,22.0,202.0,60.0
273,263850,BILLY,Bookcases & shelving units,185.0,No old price,True,https://www.ikea.com/sa/en/p/billy-bookcase-white-00263850/,Yes,Gillis Lundgren,28.0,202.0,80.0
373,10429992,JONAXEL,Bookcases & shelving units,55.0,No old price,True,https://www.ikea.com/sa/en/p/jonaxel-frame-white-10429992/,No,IKEA of Sweden,51.0,70.0,25.0
697,50357002,KALLRÖR,Bookcases & shelving units,25.0,No old price,True,https://www.ikea.com/sa/en/p/kallroer-handle-stainless-steel-50357002/,No,IKEA of Sweden,38.0,,
361,59902658,VITTSJÖ,Bookcases & shelving units,620.0,No old price,True,https://www.ikea.com/sa/en/p/vittsjoe-storage-combination-black-brown-glass-s59902658/,No,Johan Kroon,36.0,175.0,151.0
1057,29286865,BESTÅ / EKET,Cabinets & cupboards,1578.0,No old price,True,https://www.ikea.com/sa/en/p/besta-eket-cabinet-combination-for-tv-white-light-grey-red-s29286865/,Yes,Jon Karlsson/IKEA of Sweden,42.0,210.0,300.0
299,287808,HEJNE,Bookcases & shelving units,45.0,No old price,True,https://www.ikea.com/sa/en/p/hejne-shelf-softwood-00287808/,Yes,IKEA of Sweden,28.0,,77.0
827,89279174,LIXHULT,Cabinets & cupboards,356.0,No old price,True,https://www.ikea.com/sa/en/p/lixhult-wall-mounted-cabinet-combination-white-s89279174/,No,Jon Karlsson,25.0,50.0,50.0
410,99020476,BILLY / GNEDBY,Bookcases & shelving units,940.0,No old price,True,https://www.ikea.com/sa/en/p/billy-gnedby-bookcase-black-brown-s99020476/,Yes,IKEA of Sweden/Gillis Lundgren,28.0,202.0,200.0
403,89317557,KOLBJÖRN,Bookcases & shelving units,570.0,No old price,True,https://www.ikea.com/sa/en/p/kolbjoern-shelving-unit-with-cabinet-green-s89317557/,No,IKEA of Sweden,37.0,161.0,80.0
801,99297634,JONAXEL,Bookcases & shelving units,730.0,No old price,True,https://www.ikea.com/sa/en/p/jonaxel-frame-wire-baskets-clothes-rails-s99297634/,No,IKEA of Sweden,51.0,173.0,
889,99266053,HAVSTA,Cabinets & cupboards,1900.0,No old price,True,https://www.ikea.com/sa/en/p/havsta-storage-combination-w-glass-doors-dark-brown-s99266053/,Yes,IKEA of Sweden,37.0,134.0,162.0
1176,90116553,POÄNG,Chairs,179.0,No old price,True,https://www.ikea.com/sa/en/p/poaeng-childrens-armchair-birch-veneer-almas-natural-90116553/,No,Noboru Nakamura,60.0,68.0,47.0
297,79286434,EKET,Bookcases & shelving units,620.0,No old price,True,https://www.ikea.com/sa/en/p/eket-cabinet-combination-with-legs-golden-brown-s79286434/,Yes,Jon Karlsson,35.0,80.0,140.0
